#OTU ID,Domain,Phylum,Class,Order,Family,Genus,Species
OTU1110,Bacteria,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonas,
OTU1111,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,FJ889281_f,FJ889281_g,
OTU1112,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Ferruginibacter,
OTU1113,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodocista,
OTU1114,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,
OTU1115,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Labilithrix,
OTU1116,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Tepidisphaeraceae,Tepidisphaera,
OTU1117,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
OTU1118,Bacteria,Gemmatimonadetes,Gemmatimonadetes_c,Gemmatimonadales,Gemmatimonadaceae,EU421850_g,
OTU1119,Unassigned,,,,,,
OTU112,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,,
OTU1120,Bacteria,Bacteroidetes,Sphingobacteriia,HQ178786_o,HQ178786_f,DQ404664_g,
OTU1121,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,
OTU1122,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Parviterribacteraceae,Parviterribacter,
OTU1123,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Tepidisphaeraceae,Tepidisphaera,
OTU1124,Bacteria,Gemmatimonadetes,Gemmatimonadetes_c,Gemmatimonadales,Gemmatimonadaceae,,
OTU1125,Bacteria,AD3,AY289487_c,FJ625337_o,EF516692_f,EF516692_g,HQ445768_s
OTU1126,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Sinobacteraceae,Nevskia,
OTU1127,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AY945895_f,AY945895_g,
OTU1128,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU1129,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Tepidisphaeraceae,Tepidisphaera,
OTU113,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium_facile
OTU1130,Bacteria,BRC1,FP245541_c,FP245541_o,AJ604544_f,AJ604544_g,
OTU1131,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmata_f,FJ478962_g,
OTU1132,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,EU132424_g,
OTU1133,Bacteria,Chloroflexi,Ktedonobacteria,AY673403_o,AY673403_f,,
OTU1134,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,HM748650_g,
