#OTU ID,1,2,3,4,5,6,7,8,9,10,11,12,BCU1_2,BCU1_3,BCU2_1,BCU2_2,BCU3_1,BCU3_3,BCU4_1,BCU4_2,BCU4_3,BCW1_1,BCW1_2,BCW1_3,BCW2_1,BCW2_2,BCW2_3,BCW3_1,BCW3_2,BCW3_3,BCW4_1,BCW4_2,BCW4_3,S1_1,S1_2,S1_3,S2_1,S2_2,S2_3,S3_1,S3_2,S3_3,S4_1,S4_2,S4_3,SCK_1,SCK_2,SCK_3,taxonomy
OTU52,9,42,3,16,16,9,12,19,5,14,5,8,201,25,1,3,2,66,8,79,12,111,246,128,1,3,20,8,37,64,31,42,172,42,14,73,5,5,13,6,8,13,52,16,13,8,35,10,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Rudaea
OTU520,0,12,1,0,0,0,0,1,1,0,1,0,2,1,0,0,8,11,0,5,1,0,1,1,1,0,2,5,0,0,0,0,11,0,1,0,15,4,7,30,17,31,3,2,15,0,12,2,Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Mycobacteriaceae;Mycobacterium
OTU5200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bacteria;Cyanobacteria;JF417809_c;JF417809_o;JF417809_f;AJ583204_g
OTU5201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Gemmata_f
OTU5202,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Tepidisphaeraceae;Tepidisphaera
OTU5203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukarya;Phaeophyceae;Ectocarpales_c;Ectocarpales;EF574962_f;EF574962_g;AF289158_s
OTU5204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;FJ889281_f;FJ889281_g
OTU5205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium
OTU5206,0,3,1,1,1,0,2,3,2,3,3,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,1,0,2,0,0,0,2,1,2,0,Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;HQ674860_g
OTU5207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bacteria;Tenericutes;Mollicutes;JPXG_o;JPXG_f;HQ645183_g
OTU5208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Elusimicrobia;Elusimicrobia_c;Elusimicrobiales;AF407708_f;AY622271_g
OTU5209,2,12,7,3,5,2,7,6,1,2,2,2,15,2,4,0,2,0,5,7,2,6,1,1,4,0,7,0,34,1,0,1,18,1,4,3,9,1,1,0,2,1,0,8,8,7,5,1,Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Singulisphaera
OTU521,6,1,2,0,0,0,0,4,0,0,0,0,49,2,3,2,2,26,0,9,0,14,29,3,0,0,3,3,0,8,23,2,2,12,15,12,4,8,10,4,1,2,0,1,0,1,1,4,Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;CP011489_f;CP011489_g
